単語,出現回数
はったつ,4563
ていいん,4561
ふじ,4558
しこう,4555
しんこく,4554
ゆそう,4551
かくりつ,4550
かいてん,4546
めでぃあ,4544
しせん,4541
けいじ,4538
ぼうりょく,4531
ときどき,4528
びーる,4528
がっぺい,4527
ゆ,4527
はいりょ,4511
さくら,4506
ついか,4506
とうしょ,4504
かかり,4498
きせつ,4498
みらい,4495
こうがい,4480
しゅたい,4480
のち,4479
きそく,4474
めんどう,4470
いっしゅん,4469
くろう,4462
おん,4458
ぴーしー,4456
すーぱー,4449
ほうどう,4447
かぜい,4436
てんじ,4436
こうしん,4434
せきゆ,4427
とり,4426
ぱり,4418
こうざ,4414
ただ,4414
ねがい,4408
ばめん,4400
りょういき,4396
けいさい,4396
そくてい,4396
ぶらんど,4395
めんせき,4391
こうふ,4390
いっさい,4388
かいちょう,4387
けんしゅう,4374
よこはま,4369
きゅうふ,4365
ぎかい,4364
む,4364
こきゅう,4359
べんり,4359
もん,4358
にちよう,4358
きろめーとる,4356
せんち,4353
しゅうしょく,4351
いがく,4348
おとうと,4348
しゅつえん,4345
ごうり,4343
ごめん,4340
むし,4340
げんかん,4337
かいせつ,4332
ぐんじ,4329
はかい,4323
ひる,4313
ほうしゃ,4311
きんねん,4309
はし,4309
てすと,4304
れーす,4302
まんしょん,4293
しさく,4288
ごらん,4283
かこう,4282
がいとう,4276
いり,4276
しん,4263
くふう,4249
せわ,4249
せんじつ,4249
そくど,4245
みりめーとる,4244
どうさん,4242
きょうだい,4238
けんりょく,4236
ちょうかん,4232
せなか,4231
つごう,4231
ばー,4230
きらい,4229
ほーる,4226
あたい,4215
しょっぷ,4207
しょくば,4198
ようせい,4197
しんりん,4194
さいてい,4193
ふろ,4193
かいだん,4182
びじねす,4175
や,4168
りじ,4164
りょうて,4161
かくてい,4158
ゆうせん,4157
げんち,4153
ぐあい,4146
じんけん,4146
ねだん,4145
えがお,4144
じっせん,4138
とん,4136
そうむ,4135
ぶんるい,4130
きばん,4128
しゃつ,4128
かたがた,4123
かし,4107
といれ,4106
えんそう,4097
じい,4096
ほし,4094
りそう,4086
どうこう,4086
へい,4085
いくせい,4079
こうりょ,4079
だんし,4076
ふじん,4075
とうちゃく,4072
うまれ,4071
きょうてい,4071
しくみ,4070
がまん,4068
どうぐ,4066
おおがた,4064
はいち,4060
こそだて,4057
くちびる,4054
けつろん,4054
かっせい,4053
すたっふ,4045
とういつ,4043
じっしつ,4042
すとれす,4041
ていき,4040
いご,4034
ちょうし,4029
おそれ,4025
しきゅう,4025
ひざ,4025
あかちゃん,4024
かいいん,4023
いもうと,4022
こい,4021
ちゅうもん,4019
ならび,4018
れんけい,4016
さく,4014
はいき,4013
いんさつ,4004
やすみ,4004
おなか,4003
たしょう,3999
つうち,3997
ふめい,3996
ちじ,3991
すじ,3975
えいぞう,3970
けいひ,3968
じえい,3963
かっぷ,3962
はんえい,3959
はい,3957
ちず,3950
ひび,3948
りこん,3945
くも,3944
はっき,3940
わいん,3939
すぴーど,3935
こめんと,3934
くつ,3934
せんよう,3933
そもそも,3931
ふうけい,3928
ぷれー,3925
しゅざい,3924
とりくみ,3921
しょうち,3915
ぼらんてぃあ,3913
くせ,3913
たいしょ,3913
るーる,3908
じゅうし,3894
うりあげ,3893
てつがく,3892
けつえき,3891
いりぐち,3889
しりーず,3877
みそ,3874
しゃりょう,3873
とうき,3871
おーくしょん,3868
よくじつ,3861
くいき,3860
ちい,3859
かげ,3855
りょうほう,3850
たま,3847
かぎ,3846
こうじょ,3845
てんき,3842
ぷらす,3842
つみ,3834
ゆうしょう,3834
きみ,3832
くりーむ,3826
さべつ,3813
おせん,3810
おんど,3809
せいしつ,3807
きょうふ,3805
だいり,3805
じぜん,3800
けんすう,3798
てきとう,3796
じれい,3794
いっち,3793
よゆう,3793
あさひ,3786
そうじ,3777
こくど,3775
かいがん,3771
かくち,3770
よのなか,3761
ていぎ,3760
おーぷん,3750
にゅうさつ,3744
おうえん,3743
はんけつ,3741
いったい,3740
のこり,3733
でじたる,3730
かんさ,3726
ばっく,3724
じんるい,3721
かいもの,3720
せんげん,3720
ばっぐ,3720
こんにち,3718
きんじょ,3715
むだ,3714
りゅうつう,3706
こだい,3704
そんがい,3697
ていし,3694
あどれす,3691
そうぞく,3691
かんとう,3690
してん,3687
とうじつ,3687
そしょう,3685
ちじょう,3685
なべ,3685
こな,3684
しょうぐん,3684
ぱたーん,3679
よろこび,3678
れんじゅう,3675
かぶぬし,3674
べすと,3673
ぼっくす,3673
うわさ,3669
じさつ,3666
さつじん,3664
ふりー,3663
めっせーじ,3662
かんどう,3661
きんぞく,3660
こうけん,3660
おやこ,3658
せけん,3656
じゅうぎょう,3655
ぷろじぇくと,3649
しょうしょう,3643
あそび,3641
こうちく,3640
きょうちょう,3636
はかせ,3633
かくとく,3632
へんどう,3629
きっかけ,3620
きょうせい,3619
つち,3619
そこ,3618
いぞん,3617
めんきょ,3617
めいわく,3616
きんり,3615
こーなー,3611
いかり,3608
ちゃんす,3605
きょうさん,3600
ししゅつ,3600
はたらき,3600
しゅうしゅう,3598
みまん,3597
こくりつ,3596
おぶ,3591
ゆうがた,3590
できごと,3589
ぎょう,3587
ひふ,3586
ようけん,3579
ちんぎん,3574
てら,3570
にっき,3569
まる,3568
こうほ,3568
とりあつかい,3559
ちょくご,3558
えんちょう,3552
ふきん,3552
こんとろーる,3547
ういるす,3546
たいほ,3542
かんし,3541
かっこく,3538
もよう,3535
こべつ,3531
ゆいいつ,3529
ねんりょう,3527
れつ,3525
ほんじつ,3524
ここの,3522
このみ,3521
さいず,3514
まんが,3510
あぶら,3509
どよう,3504
なごや,3504
まーく,3502
きじゅつ,3498
やみ,3497
ほゆう,3495
こうむ,3493
ていこく,3492
いきおい,3492
せんぱい,3484
くべつ,3479
いてん,3478
しょうにん,3478
れっしゃ,3478
しゅうせい,3477
なんばー,3476
しゅみ,3476
しょうり,3474
ろーま,3471
ゆうし,3468
ぱわー,3466
さくせん,3464
かいほう,3461
ふまん,3459
ほね,3457
くさ,3456
ひろしま,3455
ほんかく,3455
おうぼ,3447
いっしゅ,3445
たいいく,3444
きげん,3442
はいし,3439
きんにく,3438
しーん,3436
ぜんしん,3434
こくれん,3432
あどばいす,3432
しょっく,3426
きゅうしゅう,3425
おとこのこ,3424
たいじゅう,3422
あくせす,3421
じょうと,3417
あまり,3404
じしゅ,3404
よそく,3402
けしょう,3400
せいぶん,3393
すいさん,3384
まい,3383
ぜんこう,3378
なかみ,3374
ぎせい,3372
まどぐち,3368
かえり,3364
がいこう,3357
ぶるー,3356
しょうゆ,3354
ふくおか,3354
のうか,3352
とうごう,3351
どくしゃ,3347
らじお,3346
ぞうだい,3344
つくえ,3343
ぐ,3343
げんかい,3341
てあて,3341
いっき,3339
はしら,3335
こんきょ,3322
じょうしき,3321
たいとる,3317
ちゅうかん,3313
じんざい,3311
たいりつ,3311
ちょうめ,3306
しゅっせき,3304
さくてい,3302
せいりょく,3302
きず,3296
ぶんめい,3296
こや,3293
さくげん,3292
きち,3290
こくむ,3289
せいせき,3289
ゆーざー,3284
さんぽ,3283
しょうめん,3282
さら,3278
わがや,3278
れんあい,3274
ばくふ,3273
ほうめん,3272
かー,3272
ぷれぜんと,3268
みょう,3266
とびら,3265
うんめい,3258
しんぞう,3254
とうひょう,3247
そくめん,3246
らん,3245
とくせい,3244
ごうい,3239
みぎて,3236
ろ,3236
わく,3236
げんり,3235
びん,3235
よくせい,3235
かいしょう,3229
けんか,3228
きょひ,3224
じんじ,3222
すうち,3217
にゅーよーく,3210
しんけん,3206
ひろば,3205
くらし,3197
せんとう,3196
きにゅう,3189
こきゃく,3189
こぴー,3188
らいねん,3188
がいぶ,3182
にんずう,3178
こんや,3172
やしき,3171
じっか,3171
ふり,3170
かれー,3168
ごるふ,3167
くぶん,3166
たんぱく,3164
くちょう,3160
とくい,3160
かんさい,3159
さとう,3158
おやじ,3155
げん,3150
こうべ,3146
せいのう,3146
たましい,3146
さいばい,3138
ほうかい,3138
はつでん,3136
たべもの,3134
えいせい,3133
しんてん,3130
なかば,3125
かせん,3124
けあ,3124
たいけい,3121
れすとらん,3113
こんらん,3109
ちょさく,3106
ろんり,3104
かさい,3104
わき,3103
ちば,3101
てる,3101
とらぶる,3101
ほんしつ,3101
きょじゅう,3099
ろんぶん,3095
かっと,3094
かんそう,3093
もんぶ,3088
どうさ,3087
らいぶ,3086
とっきょ,3082
しょー,3075
じぇーあーる,3075
いと,3071
ぶんぷ,3067
